kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A13075404,답십리동아제2,서울특별시 동대문구 한천로11길 10,서울특별시 동대문구 답십리동 10-1 답십리동아제2,127.061002377,37.568609456,도로명(1)
A13075405,답십리두산제2,서울특별시 동대문구 답십리로56길 21-1,서울특별시 동대문구 답십리동 990-1 답십리두산제2,127.059513968,37.568700025,도로명(1)
A13080201,답십리대우,서울특별시 동대문구 답십리로41길 33,서울특별시 동대문구 답십리동 111 답십리대우,127.052737622,37.573463188,도로명(1)
A13080702,신답경남아파트,서울특별시 동대문구 천호대로47길 62,서울특별시 동대문구 답십리동 645-8 신답경남아파트,127.044804196,37.574931031,도로명(1)
A13080801,답십리대림,서울특별시 동대문구 답십리로60길 38,서울특별시 동대문구 답십리동 808 답십리대림,127.063837173,37.571061239,도로명(1)
A10020768,장안동  청년주택 하트리움,서울특별시 동대문구 장한로2길 44,서울특별시 동대문구 장안동 465-4 장안동  청년주택 하트리움,127.06761963,37.561704133,도로명(1)
A10021037,신부파스카 5차,서울특별시 동대문구 장한로12길 35,서울특별시 동대문구 장안동 563- 신부파스카 5차,127.069970983,37.565805109,도로명(1)
A10021586,정은스카이빌 아파트,서울특별시 동대문구 답십리로69길 99,서울특별시 동대문구 장안동 327- 정은스카이빌 아파트,127.073880376,37.576879851,도로명(1)
A10021838,장한평월드메르디앙 1차아파트,서울특별시 동대문구 천호대로93길 56,서울특별시 동대문구 장안동 573- 장한평월드메르디앙 1차아파트,127.070545338,37.563394446,도로명(1)
A10021855,장안월드메르디앙2차아파트,서울특별시 동대문구 천호대로97길 61,서울특별시 동대문구 장안동 575- 장안월드메르디앙2차아파트,127.071057092,37.563176652,도로명(1)
A10022117,일성트루엘아파트,서울특별시 동대문구 천호대로83길 71-7,서울특별시 동대문구 장안동 581- 일성트루엘아파트,127.065079662,37.565468292,도로명(1)
A10022452,장안3차현대홈타운,서울특별시 동대문구 장한로28가길 44,서울특별시 동대문구 장안동 571- 장안3차현대홈타운,127.072960133,37.574509638,도로명(1)
A10023253,신일해피트리2차아파트,,서울특별시 동대문구 장안동 567 신일해피트리2차아파트,127.06382178110607,37.56372492613384,지번(2)
A10024892,금강아미움아파트,서울특별시 동대문구 답십리로66길 20,서울특별시 동대문구 장안동 574 금강아미움아파트,127.067622339,37.571764508,도로명(1)
A10025227,동대문더퍼스트데시앙아파트,서울특별시 동대문구 장한로27가길 37,서울특별시 동대문구 장안동 291 동대문더퍼스트데시앙아파트,127.070365479,37.575069615,도로명(1)
A10025509,동대문서희스타힐스,서울특별시 동대문구 장한로20길 7,서울특별시 동대문구 장안동 365-4 동대문서희스타힐스,127.070289984,37.56897463,도로명(1)
A10027877,현대썬앤빌601,서울특별시 동대문구 장한로 91,서울특별시 동대문구 장안동 373-3 현대썬앤빌601,127.069365267,37.569156759,도로명(1)
A13010001,장안2차현대홈타운,서울특별시 동대문구 장한로26다길 84,서울특별시 동대문구 장안동 569 장안2차현대홈타운,127.071242977,37.568125966,도로명(1)
A13010002,장안삼성쉐르빌,서울특별시 동대문구 장한로 119,서울특별시 동대문구 장안동 371-1 장안삼성쉐르빌,127.070128439,37.571437799,도로명(1)
A13010003,장안현대,서울특별시 동대문구 한천로 224,서울특별시 동대문구 장안동 95-1 장안현대,127.069027007,37.580701078,도로명(1)
A13010004,장안현대힐스테이트,서울특별시 동대문구 장안벚꽃로1길 7,서울특별시 동대문구 장안동 329-2 장안현대힐스테이트,127.075809725,37.576654657,도로명(1)
