kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A11087601,롯데캐슬천지인,서울특별시 종로구 종로 347,서울특별시 종로구 숭인동 76 롯데캐슬천지인,127.016087612,37.573556846,도로명(1)
A11087602,종로센트레빌,서울특별시 종로구 동망산길 47,서울특별시 종로구 숭인동 2-1 종로센트레빌,127.015905963,37.580164571,도로명(1)
A10027105,경희궁자이3단지,서울특별시 종로구 경교장길 35,서울특별시 종로구 평동 233 경희궁자이3단지,126.96529426,37.56830905,도로명(1)
A10027118,경희궁자이2단지 아파트,서울특별시 종로구 송월길 99,서울특별시 종로구 홍파동 199 경희궁자이2단지 아파트,126.964152857,37.569206972,도로명(1)
A10026940,경희궁자이4단지주상복합,서울특별시 종로구 송월길 155,서울특별시 종로구 교북동 126 경희궁자이4단지주상복합,126.961542113,37.571394174,도로명(1)
A10026946,경희궁자이1단지(임대아파트),서울특별시 종로구 송월길 130,서울특별시 종로구 행촌동 211 경희궁자이1단지(임대아파트),126.964496478,37.572237074,도로명(1)
A10021355,구기동 청구빌라,서울특별시 종로구 홍지문길 69,서울특별시 종로구 구기동 266- 구기동 청구빌라,126.956942745,37.604656927,도로명(1)
A10024669,동익빌라,서울특별시 종로구 홍지문길 64,서울특별시 종로구 구기동 40 동익빌라,126.957426508,37.604182317,도로명(1)
A10021278,평창동 롯데캐슬로잔,서울특별시 종로구 평창문화로 156,서울특별시 종로구 평창동 108- 평창동 롯데캐슬로잔,126.977535847,37.609825783,도로명(1)
A10021787,금강하이츠빌라,서울특별시 종로구 평창24길 18,서울특별시 종로구 평창동 64-3 금강하이츠빌라,126.975753059,37.608650465,도로명(1)
A10024780,금강주택,서울특별시 종로구 평창12길 8-22,서울특별시 종로구 평창동 170 금강주택,126.968546584,37.607671394,도로명(1)
A11001203,평창삼성,서울특별시 종로구 평창문화로 172,서울특별시 종로구 평창동 596 평창삼성,126.978437881,37.61078454,도로명(1)
A11084601,평창롯데,서울특별시 종로구 평창문화로 140,서울특별시 종로구 평창동 72 평창롯데,126.975881648,37.609405836,도로명(1)
A10025710,경희궁 롯데캐슬아파트,서울특별시 종로구 통일로 230,서울특별시 종로구 무악동 89 경희궁 롯데캐슬아파트,126.958628718,37.574370317,도로명(1)
A10027708,인왕산2차아이파크아파트,서울특별시 종로구 통일로18길 34,서울특별시 종로구 무악동 71-1 인왕산2차아이파크아파트,126.959494423,37.575998255,도로명(1)
