학원지정번호,학원명,도로명주소,경도,위도,비고
3000031658,단이국어교습소,경기도 고양시 일산서구 대산로 126,126.763768572,37.674790374,성공
3000054569,달빛기타교습소,경기도 고양시 덕양구 화중로 177,126.833304055,37.642839593,성공
3000029150,달빛해법영어교습소,경기도 고양시 덕양구 화중로 220,126.834712213,37.646472384,성공
3000033065,달샘독서논술교습소,경기도 고양시 일산서구 일산로 528,126.769418443,37.677349133,성공
3000034399,대원영어교습소,경기도 고양시 일산서구 가좌1로 57,126.718673605,37.687134807,성공
3000045332,대치12정성영어교습소,경기도 고양시 덕양구 중앙로558번길 16-16,126.836684532,37.623660121,성공
3000074328,대치Y수학교습소,경기도 고양시 덕양구 중앙로 542,126.836983791,37.623331756,성공
3000063717,대치디원스파르타수학교습소,경기도 고양시 일산동구 일산로 202,126.790420713,37.654498763,성공
3000068321,대치매쓰프리수학교습소,경기도 고양시 일산서구 일산로 593,126.762492148,37.679704107,성공
3000074019,대치엠수학교습소,경기도 고양시 덕양구 통일로780번길 56,126.864806179,37.690514132,성공
3000013369,대화홍익미술교습소,경기도 고양시 일산서구 대화1로 19,126.729495419,37.670335105,성공
3000042913,더(The)올림과학탐구교습소,경기도 고양시 덕양구 화중로 60,126.830757445,37.632434878,성공
3000062652,더나은수학교습소,경기도 고양시 일산동구 고풍로 72-41,126.795280546,37.66576648,성공
3000069249,더다올미술교습소,경기도 고양시 일산동구 위시티3로 111,126.810036253,37.672449436,성공
3000032732,더드림해법영어교습소,경기도 고양시 일산동구 중산로 269,126.781051966,37.69624871,성공
3000053414,더매쓰백마수학교습소,경기도 고양시 일산동구 일산로 233,126.788233046,37.656839912,성공
3000054221,더매쓰수학교습소,경기도 고양시 덕양구 으뜸로 130,126.870613611,37.579452604,성공
3000051060,더매쓰식사수학교습소,경기도 고양시 일산동구 위시티3로 60,126.813943545,37.676039072,성공
3000034759,더생각독서논술교습소,경기도 고양시 일산서구 일현로 68,126.764116074,37.69290008,성공
